source,target,weight
P160,C484,{'weight': 7}
P160,C14818,{'weight': 18}
P160,C63584,{'weight': 15}
P160,C137006,{'weight': 2}
P160,C147030,{'weight': 9}
P160,C159021,{'weight': 7}
P160,C205067,{'weight': 35}
P160,C353381,{'weight': 105}
P160,C664459,{'weight': 2}
P160,C765950,{'weight': 2}
P160,C781146,{'weight': 44}
P160,C783022,{'weight': 19}
P160,C796473,{'weight': 9}
P160,C811841,{'weight': 3}
P160,C862154,{'weight': 2}
P160,C863366,{'weight': 2}
P160,C870081,{'weight': 5}
P160,C883351,{'weight': 11}
P160,C894051,{'weight': 10}
P160,C898798,{'weight': 10}
P160,C903018,{'weight': 16}
P160,C906050,{'weight': 3}
P160,C906473,{'weight': 9}
P160,C908374,{'weight': 6}
P160,C908569,{'weight': 3}
P160,C910492,{'weight': 7}
P160,C911337,{'weight': 37}
P160,C911520,{'weight': 7}
P160,C915036,{'weight': 8}
P160,C915190,{'weight': 3}
P160,C915383,{'weight': 2}
P160,C915491,{'weight': 2}
P160,C915719,{'weight': 5}
P160,C916101,{'weight': 6}
P160,C917977,{'weight': 23}
P160,C919546,{'weight': 5}
P160,C919901,{'weight': 8}
P160,C921248,{'weight': 8}
P160,C921545,{'weight': 13}
P160,C921731,{'weight': 7}
P160,C922307,{'weight': 3}
P160,C923300,{'weight': 3}
C484,P411745,{'weight': 2}
C484,P599476,{'weight': 4}
C484,P911227,{'weight': 2}
C14818,P3320,{'weight': 5}
C14818,P147030,{'weight': 6}
C14818,P425992,{'weight': 6}
C14818,P779051,{'weight': 2}
C14818,P854537,{'weight': 6}
C14818,P1835073,{'weight': 3}
C63584,P147030,{'weight': 2}
C63584,P250566,{'weight': 2}
C63584,P506327,{'weight': 11}
C63584,P863566,{'weight': 2}
C63584,P1005840,{'weight': 5}
C63584,P1835073,{'weight': 2}
C137006,P147030,{'weight': 3}
C137006,P534826,{'weight': 4}
C137006,P1005840,{'weight': 4}
C147030,P3320,{'weight': 5}
C147030,P6971,{'weight': 3}
C147030,P29729,{'weight': 8}
C147030,P42615,{'weight': 2}
C147030,P173306,{'weight': 3}
C147030,P405954,{'weight': 5}
C147030,P615980,{'weight': 4}
C147030,P664459,{'weight': 2}
C147030,P677256,{'weight': 6}
C147030,P790453,{'weight': 7}
C147030,P1082970,{'weight': 2}
C147030,P1598908,{'weight': 4}
C159021,P3098,{'weight': 2}
C159021,P29729,{'weight': 3}
C159021,P97992,{'weight': 9}
C159021,P147030,{'weight': 5}
C159021,P599476,{'weight': 2}
C159021,P677256,{'weight': 4}
C159021,P910492,{'weight': 4}
C159021,P1598908,{'weight': 2}
C205067,P147030,{'weight': 2}
C205067,P323851,{'weight': 6}
C205067,P664459,{'weight': 2}
C205067,P773414,{'weight': 5}
C205067,P894051,{'weight': 7}
C205067,P1005840,{'weight': 6}
C353381,P477,{'weight': 4}
C353381,P484,{'weight': 8}
C353381,P3098,{'weight': 4}
C353381,P3320,{'weight': 2}
C353381,P3785,{'weight': 2}
C353381,P8882,{'weight': 2}
C353381,P15745,{'weight': 2}
C353381,P18701,{'weight': 2}
C353381,P22624,{'weight': 12}
C353381,P29729,{'weight': 13}
C353381,P42615,{'weight': 2}
C353381,P53860,{'weight': 2}
C353381,P59233,{'weight': 4}
C353381,P68954,{'weight': 6}
C353381,P147030,{'weight': 54}
C353381,P165078,{'weight': 10}
C353381,P173306,{'weight': 2}
C353381,P180811,{'weight': 38}
C353381,P186163,{'weight': 9}
C353381,P275891,{'weight': 2}
C353381,P346436,{'weight': 8}
C353381,P350459,{'weight': 5}
C353381,P367038,{'weight': 2}
C353381,P384930,{'weight': 2}
C353381,P385982,{'weight': 2}
C353381,P404218,{'weight': 2}
C353381,P405954,{'weight': 6}
C353381,P419371,{'weight': 6}
C353381,P438488,{'weight': 2}
